id,word,seen,date,race
8,excellent-adventures,1,1995-11-11 0:00:00,white
9,get-it,1,1995-12-11 0:00:00,white
9,it-now,1,1995-12-11 0:00:00,white
9,now-more,1,1995-12-11 0:00:00,white
9,more-muscle,1,1995-12-11 0:00:00,white
9,muscle-less,1,1995-12-11 0:00:00,white
9,less-fat,1,1995-12-11 0:00:00,white
9,fat-better,1,1995-12-11 0:00:00,white
9,better-sex,1,1995-12-11 0:00:00,white
9,sex-instant,1,1995-12-11 0:00:00,white
9,instant-energy,1,1995-12-11 0:00:00,white
9,energy-the,1,1995-12-11 0:00:00,white
9,the-perfect,1,1995-12-11 0:00:00,white
9,perfect-bench,1,1995-12-11 0:00:00,white
9,bench-press,1,1995-12-11 0:00:00,white
9,press-best,1,1995-12-11 0:00:00,white
9,best-exercises,1,1995-12-11 0:00:00,white
9,exercises-to,1,1995-12-11 0:00:00,white
9,to-beat,1,1995-12-11 0:00:00,white
9,beat-stress,1,1995-12-11 0:00:00,white
9,stress-healing,1,1995-12-11 0:00:00,white
9,healing-foods,1,1995-12-11 0:00:00,white
9,foods-how,1,1995-12-11 0:00:00,white
9,how-to,1,1995-12-11 0:00:00,white
9,to-talk,1,1995-12-11 0:00:00,white
9,talk-to,1,1995-12-11 0:00:00,white
9,to-women,1,1995-12-11 0:00:00,white
9,women-dennis,1,1995-12-11 0:00:00,white
9,dennis-rodman,1,1995-12-11 0:00:00,white
9,rodman-s,1,1995-12-11 0:00:00,white
9,s-hair,1,1995-12-11 0:00:00,white
9,hair-care,1,1995-12-11 0:00:00,white
9,care-guide,1,1995-12-11 0:00:00,white
10,men-s,1,1996-01-11 0:00:00,white
10,s-health,1,1996-01-11 0:00:00,white
10,health-slim,1,1996-01-11 0:00:00,white
10,slim-strong,1,1996-01-11 0:00:00,white
10,strong-the,1,1996-01-11 0:00:00,white
10,the-perfect,1,1996-01-11 0:00:00,white
10,perfect-workout,1,1996-01-11 0:00:00,white
10,workout-the,1,1996-01-11 0:00:00,white
10,the-ideal,1,1996-01-11 0:00:00,white
10,ideal-diet,1,1996-01-11 0:00:00,white
10,diet-great,1,1996-01-11 0:00:00,white
10,great-abs,1,1996-01-11 0:00:00,white
10,abs-no,1,1996-01-11 0:00:00,white
10,no-situps,1,1996-01-11 0:00:00,white
10,situps-decode,1,1996-01-11 0:00:00,white
10,decode-your,1,1996-01-11 0:00:00,white
10,your-body,1,1996-01-11 0:00:00,white
10,body-the,1,1996-01-11 0:00:00,white
10,the-best,1,1996-01-11 0:00:00,white
10,best-exercise,1,1996-01-11 0:00:00,white
10,exercise-machine,1,1996-01-11 0:00:00,white
10,machine-maximum,1,1996-01-11 0:00:00,white
10,maximum-nutrition,1,1996-01-11 0:00:00,white
10,nutrition-minimum,1,1996-01-11 0:00:00,white
10,minimum-fuss,1,1996-01-11 0:00:00,white
10,fuss-outlive,1,1996-01-11 0:00:00,white
10,outlive-your,1,1996-01-11 0:00:00,white
10,your-boss,1,1996-01-11 0:00:00,white
10,boss-it,1,1996-01-11 0:00:00,white
10,it-s,1,1996-01-11 0:00:00,white
10,s-not,1,1996-01-11 0:00:00,white
10,not-that,1,1996-01-11 0:00:00,white
10,that-hard,1,1996-01-11 0:00:00,white
11,men-s,1,1996-03-11 0:00:00,white
11,s-health,1,1996-03-11 0:00:00,white
11,health-a,1,1996-03-11 0:00:00,white
11,a-flat,1,1996-03-11 0:00:00,white
11,flat-belly,1,1996-03-11 0:00:00,white
11,belly-fast,1,1996-03-11 0:00:00,white
11,fast-the,1,1996-03-11 0:00:00,white
11,the-ultimate,1,1996-03-11 0:00:00,white
11,ultimate-sex,1,1996-03-11 0:00:00,white
11,sex-guide,1,1996-03-11 0:00:00,white
11,guide-page,1,1996-03-11 0:00:00,white
11,page-78,1,1996-03-11 0:00:00,white
11,78-stop,1,1996-03-11 0:00:00,white
11,stop-losing,1,1996-03-11 0:00:00,white
11,losing-your,1,1996-03-11 0:00:00,white
11,your-hair,1,1996-03-11 0:00:00,white
11,hair-27,1,1996-03-11 0:00:00,white
11,27-great,1,1996-03-11 0:00:00,white
11,great-anti,1,1996-03-11 0:00:00,white
11,anti-fat,1,1996-03-11 0:00:00,white
11,fat-foods,1,1996-03-11 0:00:00,white
11,foods-pain,1,1996-03-11 0:00:00,white
11,pain-proof,1,1996-03-11 0:00:00,white
11,proof-your,1,1996-03-11 0:00:00,white
11,your-back,1,1996-03-11 0:00:00,white
11,back-secrets,1,1996-03-11 0:00:00,white
11,secrets-of,1,1996-03-11 0:00:00,white
11,of-total,1,1996-03-11 0:00:00,white
11,total-relaxation,1,1996-03-11 0:00:00,white
12,ultimate-fat,1,1996-04-11 0:00:00,white
12,fat-burning,1,1996-04-11 0:00:00,white
12,burning-workout,1,1996-04-11 0:00:00,white
12,workout-double,1,1996-04-11 0:00:00,white
12,double-your,1,1996-04-11 0:00:00,white
